.vsto	bootstrap.vsto.1
.xhtml	xhtmlfile
.xml	xmlfile
.xsl	xslfile
.vmcz	HyperV.VMImport.1
.moba	moba_auto_file
.dymo	dymo.ext
.label	label.ext
.labelx	labelx.ext
.dctx	IMEDictionaryCompiler
.dctxc	IMEDictionaryCompiler
.imesx	imesxfile
.msu	Microsoft.System.Update.1
.VBE	VBEFile
.vbs	VBSFile
.WSF	WSFFile
.WSH	WSHFile
.rat	ratfile
.prf	prffile
.ppkg	Microsoft.ProvTool.Provisioning.1
.compositefont	Windows.CompositeFont
.RDP	RDP.File
.msrcincident	RemoteAssistance.1
.emf	emffile
.rle	rlefile
.wmf	wmffile
.msp	Msi.Patch
.msi	Msi.Package
.chm	chm.file
.WMD	WMP11.AssocFile.WMD
.m1v	WMP11.AssocFile.MPEG
.M2V	WMP11.AssocFile.MPEG
.MOD	WMP11.AssocFile.MPEG
.mp2v	WMP11.AssocFile.MPEG
.mpa	WMP11.AssocFile.MPEG
.mpe	WMP11.AssocFile.MPEG
.mpeg	WMP11.AssocFile.MPEG
.mpg	WMP11.AssocFile.MPEG
.mpv2	WMP11.AssocFile.MPEG
.avi	WMP11.AssocFile.AVI
.asf	WMP11.AssocFile.ASF
.wm	WMP11.AssocFile.ASF
.wmv	WMP11.AssocFile.WMV
.3g2	WMP11.AssocFile.3G2
.3gp	WMP11.AssocFile.3GP
.3gp2	WMP11.AssocFile.3G2
.3gpp	WMP11.AssocFile.3GP
.AAC	WMP11.AssocFile.ADTS
.ADT	WMP11.AssocFile.ADTS
.ADTS	WMP11.AssocFile.ADTS
.flac	WMP11.AssocFile.FLAC
.m3u	WMP11.AssocFile.m3u
.m4a	WMP11.AssocFile.M4A
.m4v	WMP11.AssocFile.MP4
.mk3d	WMP11.AssocFile.MK3D
.mka	WMP11.AssocFile.MKA
.mkv	WMP11.AssocFile.MKV
.mov	WMP11.AssocFile.MOV
.mp2	WMP11.AssocFile.MP3
.mp3	WMP11.AssocFile.MP3
.mp4	WMP11.AssocFile.MP4
.mp4v	WMP11.AssocFile.MP4
.wma	WMP11.AssocFile.WMA
.M2T	WMP11.AssocFile.M2TS
.M2TS	WMP11.AssocFile.M2TS
.MTS	WMP11.AssocFile.M2TS
.TS	WMP11.AssocFile.TTS
.TTS	WMP11.AssocFile.TTS
.aif	WMP11.AssocFile.AIFF
.aifc	WMP11.AssocFile.AIFF
.aiff	WMP11.AssocFile.AIFF
.asx	WMP11.AssocFile.ASX
.au	WMP11.AssocFile.AU
.cda	WMP11.AssocFile.CDA
.mid	WMP11.AssocFile.MIDI
.midi	WMP11.AssocFile.MIDI
.rmi	WMP11.AssocFile.MIDI
.snd	WMP11.AssocFile.AU
.wav	WMP11.AssocFile.WAV
.wax	WMP11.AssocFile.WAX
.wmx	WMP11.AssocFile.ASX
.wpl	WMP11.AssocFile.WPL
.wvx	WMP11.AssocFile.WVX
.WMS	WMP11.AssocFile.WMS
.wmz	WMP11.AssocFile.WMZ
.wab	wab_auto_file
.p7c	certificate_wab_auto_file
.scr	scrfile
.bat	batfile
.cmd	cmdfile
.com	comfile
.exe	exefile
.pif	piffile
.386	vxdfile
.accft	Access.ACCFTFile.16
.accountpicture-ms	accountpicturefile
.acl	ACLFile
.ani	anifile
.appcontent-ms	ApplicationContent
.asa	aspfile
.asp	aspfile
.aw	AWFile
.bmp	Paint.Picture
.camp	campfile
.cdmp	cdmpfile
.cdx	aspfile
.cdxml	Microsoft.PowerShellCmdletDefinitionXML.1
.chk	chkfile
.cpl	cplfile
.crtx	CRTXFile
.css	CSSfile
.cur	curfile
.db	dbfile
.dds	ddsfile
.det	Outlook.File.det.15
.dib	Paint.Picture
.dll	dllfile
.docmhtml	wordmhtmlfile
.docxml	wordxmlfile
.drv	drvfile
.dsn	MSDASQL
.elm	ELMFile
.fdm	Outlook.File.fdm.15
.fon	fonfile
.gcsx	GCSXFile
.glox	GLOXFile
.gmmp	gmmpfile
.gqsx	GQSXFile
.gra	MSGraph.Chart.8
.grp	MSProgramGroup
.hdd	progId_VirtualBox.Shell.hdd
.hxa	MSHelp.hxa.2.5
.hxc	MSHelp.hxc.2.5
.hxd	MSHelp.hxd.2.5
.hxe	MSHelp.hxe.2.5
.hxf	MSHelp.hxf.2.5
.hxh	MSHelp.hxh.2.5
.hxi	MSHelp.hxi.2.5
.hxk	MSHelp.hxk.2.5
.hxq	MSHelp.hxq.2.5
.hxr	MSHelp.hxr.2.5
.hxs	MSHelp.hxs.2.5
.hxt	MSHelp.hxt.2.5
.hxv	MSHelp.hxv.2.5
.hxw	MSHelp.hxa.2.5
.icc	icmfile
.icl	IconLibraryFile
.icm	icmfile
.ico	icofile
.img	Windows.IsoFile
.iso	Windows.IsoFile
.jfif	pjpegfile
.Job	JobObject
.jod	Microsoft.Jet.OLEDB.4.0
.jpe	jpegfile
.jpeg	jpegfile
.jpg	jpegfile
.jxr	wdpfile
.laccdb	Access.LockFile.16
.ldb	Access.LockFile.16
.lex	LEXFile
.library-ms	LibraryFolder
.lnk	lnkfile
.mlc	LpkSetup.1
.nk2	Outlook.File.nk2.15
.nst	Outlook.File.nst.15
.ocx	ocxfile
.odc	odcfile
.odccubefile	odccubefile
.odcdatabasefile	odcdatabasefile
.odcnewfile	odcnewfile
.odctablecollectionfile	odctablecollectionfile
.odctablefile	odctablefile
.ofs	Outlook.File.ofs.15
.opc	OPCFile
.oqy	oqyfile
.ost	Outlook.File.ost.15
.otf	otffile
.otm	Outlook.File.otm.15
.p10	P10File
.p7m	P7MFile
.pab	Outlook.File.pab.15
.pano	Panoramic File
.pcb	PCBFile
.pfm	pfmfile
.pko	PKOFile
.pnf	pnffile
.png	pngfile
.pptmhtml	powerpointmhtmlfile
.ps1xml	Microsoft.PowerShellXMLData.1
.pssc	Microsoft.PowerShellSessionConfiguration.1
.pubhtml	publisherhtmlfile
.pubmhtml	publishermhtmlfile
.pyd	Python.Extension
.rll	dllfile
.rqy	rqyfile
.searchConnector-ms	SearchConnectorFolder
.search-ms	SearchFolder
.settingcontent-ms	SettingContent
.sfcache	RDBFileProperties.1
.shtml	shtmlfile
.symlink	.symlink
.sys	sysfile
.ttc	ttcfile
.ttf	ttffile
.uxdc	UXDCFILE
.vdi	progId_VirtualBox.Shell.vdi
.vhd	progId_VirtualBox.Shell.vhd
.vhdpmem	Windows.VhdPmemFile
.vhdx	Windows.VhdFile
.vmdk	progId_VirtualBox.Shell.vmdk
.vsl	Visio.AddOn.11
.vsu	Visio.CustomUI.11
.vxd	vxdfile
.wdp	wdpfile
.wiz	Word.Wizard.8
.wll	Word.Addin.8
.wmdb	WMP.WMDBFile
.xevgenxml	XEV.GenericApp
.xld	Excel.Dialog
.xlsmhtml	excelmhtmlfile
.xlxml	Excelxmlss
